id,anneeMagistrature,magistrature,occurence,prenom,nom,surnom,genName,titres_roles,corps civique,corporation,poele,page,colonne,ligne
aves_aa_4R_1482_0001,1482,stettmeister,her Hans Sturm von Sturmeck,johanns,sturm,"sturmeck, von",,['her'],constoffeler,,,212,,1
aves_aa_4R_1482_0002,1482,stettmeister,her Hans Böckel ritter,johanns,böckel,,,"['her', 'ritter']",constoffeler,,,212,,2
aves_aa_4R_1482_0003,1482,stettmeister,her Diebolt von Mùlnheim ritter,diebolt,"müllenheim, von",,,"['her', 'ritter']",constoffeler,,,212,,3
aves_aa_4R_1482_0004,1482,ammeister,her Peter Schott der ammeister,peter,schott,,,"['her', 'ammeister']",echevinat,,,212,,4
aves_aa_4R_1482_0005,1482,conseiller_des_constaffel,her Claus Wormßer ritter,claus,wormser,,,"['her', 'ritter']",constoffeler,,,212,,5
aves_aa_4R_1482_0006,1482,conseiller_des_constaffel,her Hans von Seckingen ritter,johanns,"säckingen, von",,,"['her', 'ritter']",constoffeler,,,212,,6
aves_aa_4R_1482_0007,1482,conseiller_des_constaffel,her Caspar Buman ritter,caspar,bauman,,,"['her', 'ritter']",constoffeler,,,212,,7
aves_aa_4R_1482_0008,1482,conseiller_des_constaffel,her Caspar von Urendorf ritter,caspar,"urendorf, von",,,"['her', 'ritter']",constoffeler,,,212,,8
aves_aa_4R_1482_0009,1482,conseiller_des_constaffel,her Hans Spender ritter,johanns,spender,,,"['her', 'ritter']",constoffeler,,,212,,9
aves_aa_4R_1482_0010,1482,conseiller_des_constaffel,Peter Rebstock,peter,rebestock,,,,constoffeler,,,212,,10
aves_aa_4R_1482_0011,1482,conseiller_des_constaffel,Hans Völtsch,johanns,völtsch,,,,constoffeler,,,212,,11
aves_aa_4R_1482_0012,1482,conseiller_des_constaffel,Paulus Huffel,paulus,hüffelin,,,,constoffeler,,,212,,12
aves_aa_4R_1482_0013,1482,conseiller_des_bateliers,Götz von Hohenburg,götze,"hohenburg, von",,,,echevinat,corporation_des_bateliers,,212,,13
aves_aa_4R_1482_0014,1482,conseiller_des_marchands,her Conrat Riffe altameister,konrat,riffe,,,"['her', 'altameister']",echevinat,corporation_des_marchands,,212,,14
aves_aa_4R_1482_0015,1482,conseiller_des_bouchers,her Marx Kerling,marx,kerling,,,['her'],echevinat,corporation_des_bouchers,,212,,15
aves_aa_4R_1482_0016,1482,conseiller_des_cabaretiers,Walther von Rore,walther,"rohr, von",,,,echevinat,corporation_des_cabaretiers,,212,,16
aves_aa_4R_1482_0017,1482,conseiller_des_drapiers,Conrat Armbroster,konrat,armbruster,,,,echevinat,corporation_des_drapiers,,212,,17
aves_aa_4R_1482_0018,1482,conseiller_des_marchands_de_grains,Sifrit Bietenheim,sifrit,bietenheim,,,,echevinat,corporation_des_marchands_de_grains,,212,,18
aves_aa_4R_1482_0019,1482,conseiller_des_sauniers,Claus Renner,claus,renner,,,,echevinat,corporation_des_sauniers,,212,,19
aves_aa_4R_1482_0020,1482,conseiller_des_orfevres,Andres Happmacher,andres,happmacher,,,,echevinat,corporation_des_orfevres,,212,,19
aves_aa_4R_1482_0021,1482,conseiller_des_boulangers,Diebolt Otteman,diebolt,ottemann,,,,echevinat,corporation_des_boulangers,,212,,21
aves_aa_4R_1482_0022,1482,conseiller_des_pelletiers,Hans Meiger,johanns,meiger,,,,echevinat,corporation_des_pelletiers,,212,,22
aves_aa_4R_1482_0023,1482,conseiller_des_tonneliers,Andres Selig,andres,seelig,,,,echevinat,corporation_des_tonneliers,,212,,23
aves_aa_4R_1482_0024,1482,conseiller_des_tanneurs,Hans Vendenheim zwùschent Brucken,johanns,vendenheim,"brücken, zwischen",,,echevinat,corporation_des_tanneurs,,212,,24
aves_aa_4R_1482_0025,1482,conseiller_des_gourmets_et_courtiers,Hans von Odratzheim,johanns,"odratzheim, von",,,,echevinat,corporation_des_gourmets_et_courtiers,,212,,26
aves_aa_4R_1482_0026,1482,conseiller_des_tailleurs,Behtolt Vogelsberg,bechtolt,vogelsberg,,,,echevinat,corporation_des_tailleurs,,212,,28
aves_aa_4R_1482_0027,1482,conseiller_des_forgerons,Rùlin von Druhtersheim,ruhlemann,"trüchtersheim, von",,,,echevinat,corporation_des_forgerons,,212,,29
aves_aa_4R_1482_0028,1482,conseiller_des_barbiers_et_baigneurs,Jacob Meiger,jacob,meiger,,,,echevinat,corporation_des_barbiers_et_baigneurs,,212,,30
aves_aa_4R_1482_0029,1482,conseiller_des_cordonniers,Hans Floße,johanns,flöss,,,,echevinat,corporation_des_cordonniers,,212,,31
aves_aa_4R_1482_0030,1482,conseiller_des_pêcheurs,Wirich Burggrafe,wirich,burggraf,,,,echevinat,corporation_des_pêcheurs,,212,,32
aves_aa_4R_1482_0031,1482,conseiller_des_charrons,Marx Rebestock,marx,rebestock,,,,echevinat,corporation_des_charrons,,212,,34
aves_aa_4R_1482_0032,1482,conseiller_des_jardiniers,Andres Trense,andres,trense,,,,echevinat,corporation_des_jardiniers,,212,,35
aves_aa_4R_1482_0033,1482,conseiller_des_tisserands,Hans Mornhinweg,johanns,mornhinweg,,,,echevinat,corporation_des_tisserands,,212,,36
aves_aa_4R_1482_0034,1482,conseiller_des_regrattiers_cordiers_et_fruitiers,Lorentz von Gemar,laurentz,"gemersheim, von",,,,echevinat,corporation_des_regrattiers_cordiers_et_fruitiers,,212,,37
aves_aa_4R_1482_0035,1482,conseiller_des_charpentiers,Bernhart Scholle,bernhart,scholle,,,,echevinat,corporation_des_charpentiers,,212,,39
aves_aa_4R_1482_0036,1482,conseiller_des_maçons,Hans Leytgast,johanns,leitgast,,,,echevinat,corporation_des_maçons,,212,,40
