,id,anneeMagistrature,magistrature,occurence,prenom,nom,surnom,genName,titres_roles,corps civique,corporation,poele,page,colonne,ligne
1,aves_aa_4R_1403_0001,1403,stettmeister,her Reimbolt Hüffelin ritter,reimbolt,hüffelin,,,"['her', 'ritter']",constoffeler,,,134,1,1
2,aves_aa_4R_1403_0002,1403,stettmeister,her Burckart von Mülnheim von Rechberg ritter,burkhart,"müllenheim, von","rechberg, von",,"['her', 'ritter']",constoffeler,,,134,1,2
3,aves_aa_4R_1403_0003,1403,stettmeister,Dietrich Burggrafe,dietrich,burggraf,,,,constoffeler,,,134,1,3
4,aves_aa_4R_1403_0004,1403,stettmeister,Bernhart von Matzenheim,bernhart,"matzenheim, von",,,,constoffeler,,,134,1,4
5,aves_aa_4R_1403_0005,1403,ammeister,her Johanns Heilman der ammeister,johanns,heilmann,,,"['her', 'ammeister']",echevinat,,,134,1,5
6,aves_aa_4R_1403_0006,1403,conseiller_des_constaffel,her Claus Zorn Schultheiss ritter,claus,zorn,schultheiss,,"['her', 'ritter']",constoffeler,,,134,1,6
7,aves_aa_4R_1403_0007,1403,conseiller_des_constaffel,her Reimbolt züm Trübel ritter,reimbolt,"trübel, zum",,,"['her', 'ritter']",constoffeler,,,134,1,7
8,aves_aa_4R_1403_0008,1403,conseiller_des_constaffel,her Johanns Rüdolff von Endingen ritter,johanns-rudolff,"endingen, von",,,"['her', 'ritter']",constoffeler,,,134,1,8
9,aves_aa_4R_1403_0009,1403,conseiller_des_constaffel,Wilhelm von Mülnheim,wilhelm,"müllenheim, von",,,,constoffeler,,,134,1,9
10,aves_aa_4R_1403_0010,1403,conseiller_des_constaffel,Otteman von Mülnheim,ottemann,"müllenheim, von",,,,constoffeler,,,134,1,10
11,aves_aa_4R_1403_0011,1403,conseiller_des_constaffel,Gosse von Kageneck,gosse,"kageneck, von",,,,constoffeler,,,134,1,11
12,aves_aa_4R_1403_0012,1403,conseiller_des_constaffel,Conrat von Wickersheim,konrat,"wickersheim, von",,,,constoffeler,,,134,1,12
13,aves_aa_4R_1403_0013,1403,conseiller_des_constaffel,Ülrich Bock der junger,ulrich,bock,,,,constoffeler,,,134,1,13
14,aves_aa_4R_1403_0014,1403,conseiller_des_constaffel,Behtolt von Rosheim,bechtolt,"rosheim, von",,,,constoffeler,,,134,1,14
15,aves_aa_4R_1403_0015,1403,conseiller_des_constaffel,Johanns Berlin,johanns,berlin,,,,constoffeler,,,134,1,15
16,aves_aa_4R_1403_0016,1403,conseiller_des_constaffel,Götze von Heiligenstein,götze,"heiligenstein, von",,,,constoffeler,,,134,1,16
17,aves_aa_4R_1403_0017,1403,conseiller_des_constaffel,Billung zü der Megde,billung,"megde, zur",,,,constoffeler,,,134,1,17
18,aves_aa_4R_1403_0018,1403,conseiller_des_constaffel,Hug von Cünheim,hug,"kühnheim, von",,,,constoffeler,,,134,1,18
19,aves_aa_4R_1403_0019,1403,conseiller_des_constaffel,Bernhart Bock,bernhart,bock,,,,constoffeler,,,134,1,19
20,aves_aa_4R_1403_0020,1403,conseiller_des_constaffel,Heintzman Gürteler,heintz,gürteler,,,,constoffeler,,,134,1,20
21,aves_aa_4R_1403_0021,1403,conseiller_des_constaffel,Johanns Bertsch,johanns,bertsch,,,,constoffeler,,,134,1,21
22,aves_aa_4R_1403_0022,1403,conseiller_des_constaffel,Wernher Sturm,wernher,sturm,,,,constoffeler,,,134,1,22
23,aves_aa_4R_1403_0023,1403,conseiller_des_constaffel,Wernher zü den Störcken,wernher,"storcken, zum",,,,constoffeler,,,134,1,23
24,aves_aa_4R_1403_0024,1403,conseiller_des_constaffel,Johanns Mansse,johanns,manse,,,,constoffeler,,,134,1,24
25,aves_aa_4R_1403_0025,1403,conseiller_des_constaffel,Peter Blümelin,peter,blumelin,,,,constoffeler,,,134,1,25
