,id,anneeMagistrature,magistrature,occurence,prenom,nom,surnom,genName,titres_roles,corps civique,corporation,poele,page,colonne,ligne
1,aves_aa_4R_1436_0001,1436,stettmeister,her Arbogast von Kageneck,arbogast,"kageneck, von",,,['her'],constoffeler,,,167,1,1
2,aves_aa_4R_1436_0002,1436,stettmeister,her Ludwig von Rosheim,ludwig,"rosheim, von",,,['her'],constoffeler,,,167,1,2
3,aves_aa_4R_1436_0003,1436,stettmeister,her Cuͦne zuͦm Trùbel XIII,kühne,"trübel, zum",,,"['her', 'XIII']",constoffeler,,,167,1,3
4,aves_aa_4R_1436_0004,1436,stettmeister,her Hanns Humbreht,johanns,humbrecht,,,['her'],constoffeler,,,167,1,4
5,aves_aa_4R_1436_0005,1436,ammeister,her Conrat Armbruster vor dem pfennigturm der                         ammeister,konrat,armbruster,"pfennigturm, vor dem",,"['her', 'ammeister']",echevinat,,,167,1,5
6,aves_aa_4R_1436_0006,1436,conseiller_des_constaffel,her Burckart von Mùlnheim,burkhart,"müllenheim, von",,,['her'],constoffeler,,,167,1,6
7,aves_aa_4R_1436_0007,1436,conseiller_des_constaffel,her Johanns Elnhart,johanns,ellenhart,,,['her'],constoffeler,,,167,1,7
8,aves_aa_4R_1436_0008,1436,conseiller_des_constaffel,her Wolffhelm Bock XIII,wolffhelm,bock,,,"['her', 'XIII']",constoffeler,,,167,1,8
9,aves_aa_4R_1436_0009,1436,conseiller_des_constaffel,her Hesseman Hesse,hessemann,hesse,,,['her'],constoffeler,,,167,1,9
10,aves_aa_4R_1436_0010,1436,conseiller_des_constaffel,Behtolt Zorn genant Schultheiss,bechtolt,zorn,schultheiss,,,constoffeler,,,167,1,10
11,aves_aa_4R_1436_0011,1436,conseiller_des_constaffel,Hanns zuͦr Megde,johanns,"megde, zur",,,,constoffeler,,,167,1,11
12,aves_aa_4R_1436_0012,1436,conseiller_des_constaffel,Conrat Bock,konrat,bock,,,,constoffeler,,,167,1,12
13,aves_aa_4R_1436_0013,1436,conseiller_des_constaffel,Peter Mosung,peter,mosung,,,,constoffeler,,,167,1,13
14,aves_aa_4R_1436_0014,1436,conseiller_des_constaffel,Herman Tùtschman,hermann,deutschmann,,,,constoffeler,,,167,1,14
15,aves_aa_4R_1436_0015,1436,conseiller_des_constaffel,Diebolt Lentzel,diebolt,lentzelin,,,,constoffeler,,,167,1,15
16,aves_aa_4R_1436_0016,1436,conseiller_des_marchands,her Adam Riffe altammeister,adam,riffe,,,"['her', 'altammeister']",echevinat,corporation_des_marchands,,167,1,16
17,aves_aa_4R_1436_0017,1436,conseiller_des_boulangers,her Jacob von Geispoltzheim altammeister,jacob,"geispoltzheim, von",,,"['her', 'altammeister']",echevinat,corporation_des_boulangers,,167,1,17
18,aves_aa_4R_1436_0018,1436,conseiller_des_bouchers,her Johanns Betscholt altammeister,johanns,bechtolt,,,"['her', 'altammeister']",echevinat,corporation_des_bouchers,,167,1,18
19,aves_aa_4R_1436_0019,1436,conseiller_des_tonneliers,Hanns Dùngesheim,johanns,dingsheim,,,,echevinat,corporation_des_tonneliers,,167,1,19
20,aves_aa_4R_1436_0020,1436,conseiller_des_drapiers,Claus Sprenger,claus,sprenger,,,,echevinat,corporation_des_drapiers,,167,1,20
21,aves_aa_4R_1436_0021,1436,conseiller_des_tanneurs,Claus Duntzenheim,claus,duntzenheim,,,,echevinat,corporation_des_tanneurs,,167,1,21
22,aves_aa_4R_1436_0022,1436,conseiller_des_cabaretiers,Claus Wurmsser,claus,wormser,,,,echevinat,corporation_des_cabaretiers,,167,1,22
23,aves_aa_4R_1436_0023,1436,conseiller_des_maçons,Berhtolt Boͤsche,bechtolt,bösch,,,,echevinat,corporation_des_maçons,,167,1,23
24,aves_aa_4R_1436_0024,1436,conseiller_des_forgerons,Peter Vilinger,peter,villinger,,,,echevinat,corporation_des_forgerons,,167,1,24
25,aves_aa_4R_1436_0025,1436,conseiller_des_tailleurs,Peter Stoltz,peter,stoltz,,,,echevinat,corporation_des_tailleurs,,167,1,25
26,aves_aa_4R_1436_0026,1436,conseiller_des_bateliers,Hanns Ammelung,johanns,ammelung,,,,echevinat,corporation_des_bateliers,,167,1,26
27,aves_aa_4R_1436_0027,1436,conseiller_des_pelletiers,Claus zuͦr Hellen,claus,"hellen, zur",,,,echevinat,corporation_des_pelletiers,,167,1,27
28,aves_aa_4R_1436_0028,1436,conseiller_des_charpentiers,Fritsch uff dem werde,fritsch,,"werde, uff dem",,,echevinat,corporation_des_charpentiers,,167,1,28
29,aves_aa_4R_1436_0029,1436,conseiller_des_crieurs_et_mesureurs_de_vin,Jacob zuͦr Kenen,jacob,"kenen, zur",,,,echevinat,corporation_des_crieurs_et_mesureurs_de_vin,,167,1,29
30,aves_aa_4R_1436_0030,1436,conseiller_des_cordonniers,Heinrich Floͤsse,heinrich,flöss,,,,echevinat,corporation_des_cordonniers,,167,1,30
31,aves_aa_4R_1436_0031,1436,conseiller_des_orfevres,Hanns von Altzen,johanns,"altzheim, von",,,,echevinat,corporation_des_orfevres,,167,1,31
32,aves_aa_4R_1436_0032,1436,conseiller_des_marchands_de_grains,Peter von Rore,peter,"rohr, von",,,,echevinat,corporation_des_marchands_de_grains,,167,1,32
33,aves_aa_4R_1436_0033,1436,conseiller_des_jardiniers,Hanns Spete,johanns,spete,,,,echevinat,corporation_des_jardiniers,,167,1,33
34,aves_aa_4R_1436_0034,1436,conseiller_des_pêcheurs,Hanns Wùrsel XIII,johanns,würtzel,,,['XIII'],echevinat,corporation_des_pêcheurs,,167,1,34
35,aves_aa_4R_1436_0035,1436,conseiller_des_barbiers_et_baigneurs,meister Michel uff sant Steffans plan,michel,,"sankt-stefans plan, auf",,['meister'],echevinat,corporation_des_barbiers_et_baigneurs,,167,1,35
36,aves_aa_4R_1436_0036,1436,conseiller_des_sauniers,Leonhart Trachenfeils,lienhart,trachenfeils,,,,echevinat,corporation_des_sauniers,,167,1,36
