,id,anneeMagistrature,magistrature,occurence,prenom,nom,surnom,genName,titres_roles,corps civique,corporation,poele,page,colonne,ligne
1,aves_aa_4R_1463_0001,1463,stettmeister,her Berhtolt Zorn zuͦm Riet,bechtolt,zorn,"riet, zum",,['her'],constoffeler,,,194,1,1
2,aves_aa_4R_1463_0002,1463,stettmeister,her Hanns Boͤckel ritter,johanns,böckel,,,"['her', 'ritter']",constoffeler,,,194,1,2
3,aves_aa_4R_1463_0003,1463,stettmeister,her Claus Zorn von Buͦlach,claus,zorn,"bülach, von",,['her'],constoffeler,,,194,1,3
4,aves_aa_4R_1463_0004,1463,stettmeister,her Hannß Conrat Bock,johanns-konrat,bock,,,['her'],constoffeler,,,194,1,4
5,aves_aa_4R_1463_0005,1463,ammeister,her Jacob Ammelung der                      ammeister,jacob,ammelung,,,"['her', 'ammeister']",echevinat,,,194,1,5
6,aves_aa_4R_1463_0006,1463,conseiller_des_constaffel,her Dietrich Burggraf,dietrich,burggraf,,,['her'],constoffeler,,,194,1,6
7,aves_aa_4R_1463_0007,1463,conseiller_des_constaffel,Diebolt Lentzel,diebolt,lentzelin,,,,constoffeler,,,194,1,7
8,aves_aa_4R_1463_0008,1463,conseiller_des_constaffel,Jacob Lentzel,jacob,lentzelin,,,,constoffeler,,,194,1,8
9,aves_aa_4R_1463_0009,1463,conseiller_des_constaffel,Thoman Elhart,thoman,ellenhart,,,,constoffeler,,,194,1,9
10,aves_aa_4R_1463_0010,1463,conseiller_des_constaffel,Steffann Sturm,stefan,sturm,,,,constoffeler,,,194,1,10
11,aves_aa_4R_1463_0011,1463,conseiller_des_constaffel,Bernhart Bock,bernhart,bock,,,,constoffeler,,,194,1,11
12,aves_aa_4R_1463_0012,1463,conseiller_des_constaffel,Hanns Voͤltsche,johanns,völtsch,,,,constoffeler,,,194,1,12
13,aves_aa_4R_1463_0013,1463,conseiller_des_constaffel,Ludwig Wolff,ludwig,wolff,,,,constoffeler,,,194,1,13
14,aves_aa_4R_1463_0014,1463,conseiller_des_constaffel,Hanns Riffe,johanns,riffe,,,,constoffeler,,,194,1,14
15,aves_aa_4R_1463_0015,1463,conseiller_des_marchands,her Jacob Wurmsser altammeister,jacob,wormser,,,"['her', 'altammeister']",echevinat,corporation_des_marchands,,194,1,15
16,aves_aa_4R_1463_0016,1463,conseiller_des_boulangers,Claus Linser,claus,linzer,,,,echevinat,corporation_des_boulangers,,194,1,16
17,aves_aa_4R_1463_0017,1463,conseiller_des_bouchers,Hanns von Berse,johanns,"berse, von",,,,echevinat,corporation_des_bouchers,,194,1,17
18,aves_aa_4R_1463_0018,1463,conseiller_des_tonneliers,Hanns von Dalheim,johanns,"dalheim, von",,,,echevinat,corporation_des_tonneliers,,194,1,18
19,aves_aa_4R_1463_0019,1463,conseiller_des_drapiers,Hanns Armbruster vor dem pfennigturn,johanns,armbruster,"pfennigturm, vor dem",,,echevinat,corporation_des_drapiers,,194,1,19
20,aves_aa_4R_1463_0020,1463,conseiller_des_tanneurs,Diebolt Reimbolt,diebolt,reimbolt,,,,echevinat,corporation_des_tanneurs,,194,1,20
21,aves_aa_4R_1463_0021,1463,conseiller_des_cabaretiers,Adam Mesener,adam,messner,,,,echevinat,corporation_des_cabaretiers,,194,1,21
22,aves_aa_4R_1463_0022,1463,conseiller_des_maçons,Michel von Molsheim,michel,"molsheim, von",,,,echevinat,corporation_des_maçons,,194,1,22
23,aves_aa_4R_1463_0023,1463,conseiller_des_forgerons,Ludeman Kannengiesser,ludwig,kannengiesser,,,,echevinat,corporation_des_forgerons,,194,1,23
24,aves_aa_4R_1463_0024,1463,conseiller_des_tailleurs,Hanns Croßwilre,johanns,krosswiller,,,,echevinat,corporation_des_tailleurs,,194,1,24
25,aves_aa_4R_1463_0025,1463,conseiller_des_bateliers,Heinrich Bisinger,heinrich,bisinger,,,,echevinat,corporation_des_bateliers,,194,1,25
