id,anneeMagistrature,magistrature,occurence,prenom,nom,surnom,genName,titres_roles,corps civique,corporation,poele,page,colonne,ligne
aves_aa_4R_1441_0001,1441,stettmeister,her Hanns Heinrich Hùffel,johanns-heinrich,hüffelin,,,['her'],constoffeler,,,172,,1
aves_aa_4R_1441_0002,1441,stettmeister,"her Claus von Mùlnheim, Otteman seligen sun",claus,"müllenheim, von",,,['her'],constoffeler,,,172,,2
aves_aa_4R_1441_0003,1441,stettmeister,her Reimbolt Spender,reimbolt,spender,,,['her'],constoffeler,,,172,,3
aves_aa_4R_1441_0004,1441,stettmeister,her Dietrich Burggrafe,dietrich,burggraf,,,['her'],constoffeler,,,172,,4
aves_aa_4R_1441_0005,1441,ammeister,her Jacob von Geispoltzheim der ammeister,jacob,"geispoltzheim, von",,,"['her', 'ammeister']",echevinat,,,172,,5
aves_aa_4R_1441_0006,1441,conseiller_des_constaffel,her Thoman von Kageneck,thoman,"kageneck, von",,,['her'],constoffeler,,,172,,6
aves_aa_4R_1441_0007,1441,conseiller_des_constaffel,her Hanns von Mùlnheim Hiltebrant,johanns,"müllenheim, von",hiltebrant,,['her'],constoffeler,,,172,,7
aves_aa_4R_1441_0008,1441,conseiller_des_constaffel,her Hannßconrat Bock,johanns-konrat,bock,,,['her'],constoffeler,,,172,,8
aves_aa_4R_1441_0009,1441,conseiller_des_constaffel,her Claus Lentzel,claus,lentzelin,,,['her'],constoffeler,,,172,,9
aves_aa_4R_1441_0010,1441,conseiller_des_constaffel,her Clauß Fridrich Bùhssener,claus-friedrich,büchsener,,,['her'],constoffeler,,,172,,10
aves_aa_4R_1441_0011,1441,conseiller_des_constaffel,her Cuͦne Nope,kühne,nope,,,['her'],constoffeler,,,172,,11
aves_aa_4R_1441_0012,1441,conseiller_des_constaffel,Berhtolt Zorn zuͦm Riet,bechtolt,zorn,"riet, zum",,,constoffeler,,,172,,12
aves_aa_4R_1441_0013,1441,conseiller_des_constaffel,Bernhart Mùrsel,bernhart,mürsel,,,,constoffeler,,,172,,13
aves_aa_4R_1441_0014,1441,conseiller_des_constaffel,Hanns Elhart der jung,johanns,ellenhart,,der junge,,constoffeler,,,172,,14
aves_aa_4R_1441_0015,1441,conseiller_des_constaffel,Hanns Bock der jung,johanns,bock,,der junge,,constoffeler,,,172,,15
aves_aa_4R_1441_0016,1441,conseiller_des_marchands,Jacob Wurmsser,jacob,wormser,,,,echevinat,corporation_des_marchands,,172,,16
aves_aa_4R_1441_0017,1441,conseiller_des_boulangers,Claus Linser,claus,linzer,,,,echevinat,corporation_des_boulangers,,172,,17
aves_aa_4R_1441_0018,1441,conseiller_des_bouchers,Conrat von Berse,konrat,"berse, von",,,,echevinat,corporation_des_bouchers,,172,,18
aves_aa_4R_1441_0019,1441,conseiller_des_tonneliers,Hanns Bretteler,johanns,brettler,,,,echevinat,corporation_des_tonneliers,,172,,19
aves_aa_4R_1441_0020,1441,conseiller_des_drapiers,Hanns Odratzheim,johanns,odratzheim,,,,echevinat,corporation_des_drapiers,,172,,20
aves_aa_4R_1441_0021,1441,conseiller_des_tanneurs,Erhart von Isenhusen,erhart,"issenhausen, von",,,,echevinat,corporation_des_tanneurs,,172,,21
aves_aa_4R_1441_0022,1441,conseiller_des_cabaretiers,her Hug Dohssenheim altammeister,hug,dossenheim,,,"['her', 'altammeister']",echevinat,corporation_des_cabaretiers,,172,,22
aves_aa_4R_1441_0023,1441,conseiller_des_maçons,Syfrit von Zabern,sifrit,"zabern, von",,,,echevinat,corporation_des_maçons,,172,,23
