id,anneeMagistrature,magistrature,occurence,prenom,nom,surnom,genName,titres_roles,corps civique,corporation,poele,page,colonne,ligne
aves_aa_4R_1409_0001,1409,stettmeister,her Johanns Zorn von Eckerich,johanns,zorn,"eckerich, von",,['her'],constoffeler,,,140,,1
aves_aa_4R_1409_0002,1409,stettmeister,Ülrich Bock inn Brantgasse,ulrich,bock,"brantgasse, in",,,constoffeler,,,140,,2
aves_aa_4R_1409_0003,1409,stettmeister,Johanns Dütschman,johanns,deutschmann,,,,constoffeler,,,140,,3
aves_aa_4R_1409_0004,1409,stettmeister,Gosse Rebstock,gosse,rebestock,,,,constoffeler,,,140,,4
aves_aa_4R_1409_0005,1409,ammeister,her Rüllin Barpfennig der ammeister,ruhlemann,barpfennig,,,"['her', 'ammeister']",echevinat,,,140,,5
aves_aa_4R_1409_0006,1409,conseiller_des_constaffel,her Reimbolt Hüffelin,reimbolt,hüffelin,,,['her'],constoffeler,,,140,,6
aves_aa_4R_1409_0007,1409,conseiller_des_constaffel,her Heinrich von Mülnheim von Landsperg,heinrich,"müllenheim, von","landsberg, von",,['her'],constoffeler,,,140,,7
aves_aa_4R_1409_0008,1409,conseiller_des_constaffel,her Johanns Rüdolff von Endingen,johanns-rudolff,"endingen, von",,,['her'],constoffeler,,,140,,8
aves_aa_4R_1409_0009,1409,conseiller_des_constaffel,her Gosse Burggrave,gosse,burggraf,,,['her'],constoffeler,,,140,,9
aves_aa_4R_1409_0010,1409,conseiller_des_constaffel,Reimbolt Swarber,reimbolt,schwarber,,,,constoffeler,,,140,,10
aves_aa_4R_1409_0011,1409,conseiller_des_constaffel,Walther von Mülnheim,walther,"müllenheim, von",,,,constoffeler,,,140,,11
aves_aa_4R_1409_0012,1409,conseiller_des_constaffel,Reimbolt Klöbelouch,reimbolt,klobelouch,,,,constoffeler,,,140,,12
aves_aa_4R_1409_0013,1409,conseiller_des_constaffel,Johanns Zorn Shultheiss,johanns,zorn,schultheiss,,,constoffeler,,,140,,13
aves_aa_4R_1409_0014,1409,conseiller_des_constaffel,Claus Jung der junger,claus,jung,,,,constoffeler,,,140,,14
aves_aa_4R_1409_0015,1409,conseiller_des_constaffel,Conrat von Wahsselnheim,konrat,"wasselnheim, von",,,,constoffeler,,,140,,15
aves_aa_4R_1409_0016,1409,conseiller_des_constaffel,Behtolt von Rosheim,bechtolt,"rosheim, von",,,,constoffeler,,,140,,16
aves_aa_4R_1409_0017,1409,conseiller_des_constaffel,Johanns Berlin,johanns,berlin,,,,constoffeler,,,140,,17
aves_aa_4R_1409_0018,1409,conseiller_des_constaffel,Hug von Cünheim,hug,"kühnheim, von",,,,constoffeler,,,140,,18
aves_aa_4R_1409_0019,1409,conseiller_des_constaffel,Hug Ripelin,hug,rippelin,,,,constoffeler,,,140,,19
aves_aa_4R_1409_0020,1409,conseiller_des_constaffel,Wernlin Sturm,wernher,sturm,,,,constoffeler,,,140,,20
aves_aa_4R_1409_0021,1409,conseiller_des_constaffel,Claus von Heiligenstein,claus,"heiligenstein, von",,,,constoffeler,,,140,,21
aves_aa_4R_1409_0022,1409,conseiller_des_constaffel,Werlin Hüffelin,wernher,hüffelin,,,,constoffeler,,,140,,22
aves_aa_4R_1409_0023,1409,conseiller_des_constaffel,Bernhart Bock,bernhart,bock,,,,constoffeler,,,140,,23
aves_aa_4R_1409_0024,1409,conseiller_des_constaffel,Claus von Wintertur,claus,"winterthur, von",,,,constoffeler,,,140,,24
aves_aa_4R_1409_0025,1409,conseiller_des_constaffel,Groß Cüntz Pfaffenlap,küntz,pfaffenlapp,gross,,,constoffeler,,,140,,25
aves_aa_4R_1409_0026,1409,conseiller_des_constaffel,Johanns Ellehart,johanns,ellenhart,,,,constoffeler,,,140,,26
aves_aa_4R_1409_0027,1409,conseiller_des_constaffel,Johanns Hesse züm Hauwart,johanns,hesse,"hohwart, zum",,,constoffeler,,,140,,27
aves_aa_4R_1409_0028,1409,conseiller_des_constaffel,Walther Buman,walther,bauman,,,,constoffeler,,,140,,28
aves_aa_4R_1409_0029,1409,conseiller_des_constaffel,"Johanns Mansse, Claus Manssen seligen sun",johanns,manse,,,,constoffeler,,,140,,29
