,magistrature,AnnéeMagistrature,prénom,nom,surnom,genName,corps civique,corporation,prénomNN,nomNN,surnomNN,NomCompletNN
0,stettmeister,1456,Jerge,Zorn,,,constoffeler,,Joͤrg,Zorn,,her Joͤrg Zorn ritter
1,stettmeister,1456,Heintz,"Müllenheim, von",,,constoffeler,,Heintz,von Mùlnheim,,her Heintz von Mùlnheim ritter
2,stettmeister,1456,Johanns,Böckel,,,constoffeler,,Hanns,Boͤckel,,her Hanns Boͤckel ritter
3,stettmeister,1456,Friedrich,"Rust, zum",,,constoffeler,,Fridrich,zuͦm Rust,,her Fridrich zuͦm Rust ritter
4,ammeister,1456,Obrecht,Schalk,,,echevinat,,Obreht,Schalck,,her Obreht Schalck der ammeister
5,,,Ludwig,"Rosheim, von",,,constoffeler,corporation_des_constaffel,Ludwig,von Rosheim,,her Ludwig von Rosheim
6,,,Kühne,Nope,,,constoffeler,corporation_des_constaffel,Cuͦne,Nope,,her Cuͦne Nope
7,,,Johanns,Hüffelin,,,constoffeler,corporation_des_constaffel,Hanns,Hùffel,,her Hanns Hùffel
8,,,Johanns,Merswin,,,constoffeler,corporation_des_constaffel,Hanns,Merswin,,her Hanns Merswin
9,,,Bechtolt,Zorn,"Riet, zum",,constoffeler,corporation_des_constaffel,Berhtolt,Zorn,zuͦm Riet,Berhtolt Zorn zuͦm Riet
10,,,Jacob,Lentzelin,,,constoffeler,corporation_des_constaffel,Jacob,Lentzel,,Jacob Lentzel
11,,,Stefan,Sturm,,,constoffeler,corporation_des_constaffel,Steffan,Sturm,,Steffan Sturm
12,,,Thoman,Büchsener,,,constoffeler,corporation_des_constaffel,Thoman,Bùchssener,,Thoman Bùchssener
13,,,Adolff,Ellenhart,,,constoffeler,corporation_des_constaffel,Adolff,Elnhart,,Adolff Elnhart
14,,,Peter,Rebestock,,,constoffeler,corporation_des_constaffel,Peter,Rebstock,,Peter Rebstock
15,conseiller_des_marchands,1456,Jacob,Wormser,,,echevinat,corporation_des_marchands,Jacob,Wurmsser,,her Jacob Wurmsser altammeister
