,magistrature,AnnéeMagistrature,prénom,nom,surnom,genName,corps civique,corporation,prénomNN,nomNN,surnomNN,NomCompletNN
0,stettmeister,1438,Arbogast,"Kageneck, von",,,constoffeler,,Arbogast,von Kageneck,,her Arbogast von Kageneck ritter
1,stettmeister,1438,Johanns,"Müllenheim, von",,,constoffeler,,Hanns,von Mùlnheim,,"her Hanns von Mùlnheim, her Heinrichs seligen sun"
2,stettmeister,1438,Kühne,"Trübel, zum",,,constoffeler,,Cuͦne,zuͦm Trùbel,,her Cuͦne zuͦm Trùbel XIII
3,stettmeister,1438,Johanns,Humbrecht,,,constoffeler,,Hanns,Humbreht,,her Hanns Humbreht
4,ammeister,1438,Obrecht,Schalk,,,echevinat,,Obreht,Schalck,,her Obreht Schalck der ammeister
5,conseiller_des_constaffel,1438,Burkhart,"Müllenheim, von",,,constoffeler,,Burckart,von Mùlnheim,,her Burckart von Mùlnheim ritter
6,conseiller_des_constaffel,1438,Walther,Spiegel,,,constoffeler,,Walther,Spiegel,,her Walther Spiegel
7,conseiller_des_constaffel,1438,Wolffhelm,Bock,,,constoffeler,,Wolffhelm,Bock,,her Wolffhelm Bock XIII
8,conseiller_des_constaffel,1438,Hessemann,Hesse,,,constoffeler,,Hesseman,Hesse,,her Hesseman Hesse
9,conseiller_des_constaffel,1438,Ludwig,"Rosheim, von",,,constoffeler,,Ludwig,von Rosheim,,her Ludwig von Rosheim
10,conseiller_des_constaffel,1438,Bechtolt,Zorn,Schultheiss,,constoffeler,,Behtolt,Zorn,Schultheis,Behtolt Zorn genant Schultheis
11,conseiller_des_constaffel,1438,Konrat,Bock,,,constoffeler,,Conrat,Bock,,Conrat Bock
12,conseiller_des_constaffel,1438,Symont,Klobelouch,,,constoffeler,,Sỳmont,Cloͤblouch,,Sỳmont Cloͤblouch
13,conseiller_des_constaffel,1438,Johanns,Rotemburg,,,constoffeler,,Hanns,Rotemburg,,Hanns Rotemburg
14,conseiller_des_constaffel,1438,Jacob,Bauman,,,constoffeler,,Jacob,Buman,,Jacob Buman
15,conseiller_des_marchands,1438,Adam,Riffe,,,echevinat,corporation_des_marchands,Adam,Riffe,,her Adam Riffe
16,conseiller_des_boulangers,1438,Jacob,"Geispoltzheim, von",,,echevinat,corporation_des_boulangers,Jacob,von Geispoltzheim,,her Jacob von Geispoltzheim altammeister
17,conseiller_des_bouchers,1438,Johanns,Kalt,,,echevinat,corporation_des_bouchers,Hanns,Kalt,,Hanns Kalt
