,magistrature,AnnéeMagistrature,prénom,nom,surnom,genName,corps civique,corporation,prénomNN,nomNN,surnomNN,NomCompletNN
0,stettmeister,1406,Schochmann,Mahler,,,constoffeler,,Schochman,Maler,,her Schochman Maler
1,stettmeister,1406,Johanns,Bock,,,constoffeler,,Johanns,Bock,,her Johanns Bock
2,stettmeister,1406,Ulrich,Löselin,,,constoffeler,,Ülrich,Löselin,,her Ülrich Löselin
3,stettmeister,1406,Hug,Völtsch,,,constoffeler,,Hug,Völtsche,,her Hug Völtsche
4,ammeister,1406,Wilhelm,Metziger,,,echevinat,,Wilhelm,Metziger,,her Wilhelm Metziger der ammeister
5,conseiller_des_constaffel,1406,Thoman,"Endingen, von",,,constoffeler,,Thoman,von Endingen,,her Thoman von Endingen
6,conseiller_des_constaffel,1406,Reimbolt,Zorn,Lapp,,constoffeler,,Reimbolt,Zorn,Lappe,her Reimbolt Zorn dem man spricht Lappe
7,conseiller_des_constaffel,1406,Heintz,"Müllenheim, von",,,constoffeler,,Heintz,von Mülnheim,,her Heintz von Mülnheim
8,conseiller_des_constaffel,1406,Wilhelm,Klobelouch,,,constoffeler,,Wilhelm,Clobelouch,,her Wilhelm Clobelouch
9,conseiller_des_constaffel,1406,Claus,"Bülach, von",,,constoffeler,,Claus,von Bülach,,her Claus von Bülach
10,conseiller_des_constaffel,1406,Dietrich,Burggraf,,,constoffeler,,Dietterich,Burggrofe,,Dietterich Burggrofe
11,conseiller_des_constaffel,1406,Wetzel,Reimbolt,,,constoffeler,,Wetzel,Reimbolt,,Wetzel Reimbolt
12,conseiller_des_constaffel,1406,Wilhelm,"Müllenheim, von",,,constoffeler,,Wilhelm,von Mülnheim,,Wilhelm von Mülnheim
13,conseiller_des_constaffel,1406,Andres,Wirich,,,constoffeler,,Andres,Wyrich,,Andres Wyrich
14,conseiller_des_constaffel,1406,Claus,Merswin,,,constoffeler,,Claus,Merswin,,Claus Merswin
15,conseiller_des_constaffel,1406,Claus,Gnipping,,,constoffeler,,Claus,Gnÿpping,,Claus Gnÿpping
16,conseiller_des_constaffel,1406,Götze,"Heiligenstein, von",,,constoffeler,,Götze,von Heiligenstein,,Götze von Heiligenstein
17,conseiller_des_constaffel,1406,Heintz,Gürteler,,,constoffeler,,Heintzman,Gürteler,,Heintzman Gürteler
18,conseiller_des_constaffel,1406,Konrat,Pfaffenlapp,"Rust, zum",,constoffeler,,Conrat,Pfaffenlapp,züm Rüst,Conrat Pfaffenlapp züm Rüst
19,conseiller_des_constaffel,1406,Johanns,Bertsch,,,constoffeler,,Johans,Bertsche,,Johans Bertsche
20,conseiller_des_constaffel,1406,Peter,Blumelin,,,constoffeler,,Peter,Blümelin,,Peter Blümelin
21,conseiller_des_constaffel,1406,Ulrich,Bock,,der jungest,constoffeler,,Ülrich,Bock,,Ülrich Bock der jungest
22,conseiller_des_constaffel,1406,Johanns,"Winterthur, von",,,constoffeler,,Johans,von Wintertur,,Johans von Wintertur
23,conseiller_des_constaffel,1406,Johanns,Manse,,,constoffeler,,Hans,Mansse,,Hans Mansse
24,conseiller_des_constaffel,1406,Kühne,"Trübel, zum",,,constoffeler,,Cüne,züm Trübel,,Cüne züm Trübel
25,conseiller_des_constaffel,1406,Ruther,Förster,,,constoffeler,,Rüther,Vörster,,Rüther Vörster
26,conseiller_des_constaffel,1406,Johanns,Peterlin,,,constoffeler,,Johans,Peterlin,,Johans Peterlin
27,conseiller_des_constaffel,1406,Dietrich,Rebestock,,,constoffeler,,Dietterich,Rebstock,,Dietterich Rebstock
28,conseiller_des_constaffel,1406,Küntz,Pfaffenlapp,,,constoffeler,,Cüntz,Pfafenlapp,,"Cüntz Pfafenlapp, Friderich Pfaffenlabs seligen sün"
29,conseiller_des_marchands,1406,Peter,Riffe,,,echevinat,corporation_des_marchands,Peter,Riffe,,Peter Riffe
