,magistrature,AnnéeMagistrature,prénom,nom,surnom,genName,corps civique,corporation,prénomNN,nomNN,surnomNN,NomCompletNN
0,stettmeister,1422,Hug,Zorn,Heilant,,constoffeler,,Hug,Zorn,Heilant,her Hug Zorn Heilant
1,stettmeister,1422,Ottemann,"Müllenheim, von",,,constoffeler,,Otteman,von Mùlnheim,,her Otteman von Mùlnheim
2,stettmeister,1422,Johanns,Manse,,,constoffeler,,Hanns,Mansse,,her Hanns Mansse
3,stettmeister,1422,Johanns,Bechtolt,,,constoffeler,,Johanns,Betscholt,,her Johanns Betscholt
4,ammeister,1422,Claus,Melbrühe,,,echevinat,,Claus,Melbruͤge,,her Claus Melbruͤge der ammeister
5,conseiller_des_constaffel,1422,Reimbolt,Wetzel,,,constoffeler,,Reimbolt,Wetzel,,her Reimbolt Wetzel
6,conseiller_des_constaffel,1422,Thoman,"Endingen, von",,,constoffeler,,Thoman,von Endingen,,her Thoman von Endingen
7,conseiller_des_constaffel,1422,Johanns,Bock,,,constoffeler,,Johanns,Bock,,her Johanns Bock
8,conseiller_des_constaffel,1422,Claus,Merswin,,,constoffeler,,Claus,Merswin,,her Claus Merswin
9,conseiller_des_constaffel,1422,Johanns,Sturm,"Sturmeck, von",,constoffeler,,Johanns,Sturm,von Sturmeck,her Johanns Sturm von Sturmeck
10,conseiller_des_constaffel,1422,Wernher,Hüffelin,,,constoffeler,,Wernlin,Hùffel,,Wernlin Hùffel
11,conseiller_des_constaffel,1422,Ulrich,Bock,Klein,,constoffeler,,Uͣlrich,Bock,Clein,Clein Uͣlrich Bock
12,conseiller_des_constaffel,1422,Johanns,Ellenhart,,,constoffeler,,Johanns,Ellehart,,Johanns Ellehart
13,conseiller_des_constaffel,1422,Hessemann,"Geudertheim, von",,,constoffeler,,Hesseman,von Goͤudertheim,,Hesseman von Goͤudertheim
14,conseiller_des_constaffel,1422,Claus,Bauman,,,constoffeler,,Claus,Buman,,Claus Buman
15,conseiller_des_constaffel,1422,Jacob,"Winterthur, von",,,constoffeler,,Jacob,von Wintertur,,Jacob von Wintertur
16,conseiller_des_marchands,1422,Ruhlemann,Barpfennig,,,echevinat,corporation_des_marchands,Ruͤllin,Barpfennig,,her Ruͤllin Barpfennig
17,conseiller_des_boulangers,1422,Jacob,"Geispoltzheim, von",,der jung,echevinat,corporation_des_boulangers,Jacob,von Geispoltzheim,,Jacob von Geispoltzheim der jung
18,conseiller_des_bouchers,1422,Johanns,Bechtolt,,,echevinat,corporation_des_bouchers,Johanns,Betscholt,,her Johanns Betscholt
19,conseiller_des_drapiers,1422,Claus,Spielmann,,,echevinat,corporation_des_drapiers,Claus,Spilman,,Claus Spilman
20,conseiller_des_tonneliers,1422,Claus,"Göffde, von",,,echevinat,corporation_des_tonneliers,Claus,von Goͤffede,,Claus von Goͤffede
21,conseiller_des_tanneurs,1422,Claus,Duntzenheim,,,echevinat,corporation_des_tanneurs,Claus,Duntzenheim,,Claus Duntzenheim
22,conseiller_des_cabaretiers,1422,Anshelm,Spirer,,,echevinat,corporation_des_cabaretiers,Anshelm,Spirer,,Anshelm Spirer
23,conseiller_des_maçons,1422,Johanns,"Eckboltzheim, von",,,echevinat,corporation_des_maçons,Hanns,von Eckboltzheim,,Hanns von Eckboltzheim
24,conseiller_des_forgerons,1422,Lienhart,Welsch,,,echevinat,corporation_des_forgerons,Leonhart,Welsch,,Leonhart Welsch
25,conseiller_des_tailleurs,1422,Konrat,Schrotbanck,,,echevinat,corporation_des_tailleurs,Conrat,Schrotbanck,,Conrat Schrotbanck
26,conseiller_des_bateliers,1422,Heintz,Phye,,,echevinat,corporation_des_bateliers,Heintz,Phye,,Heintz Phye
27,conseiller_des_pelletiers,1422,Heintz,Seelose,,,echevinat,corporation_des_pelletiers,Heintzman,Selose,,Heintzman Selose
28,conseiller_des_charpentiers,1422,Claus,"Bergheim, von",,,echevinat,corporation_des_charpentiers,Claus,von Bergheim,,Claus von Bergheim
29,conseiller_des_crieurs_et_mesureurs_de_vin,1422,Jacob,"Kenen, zur",,,echevinat,corporation_des_crieurs_et_mesureurs_de_vin,Jacob,zͦuͦr Kenen,,Jacob zͦuͦr Kenen
30,conseiller_des_cordonniers,1422,Küntz,Heide,,,echevinat,corporation_des_cordonniers,Cuͦntz,Heiden,,Cuͦntz Heiden
31,conseiller_des_orfevres,1422,Johanns,Gotzgans,,,echevinat,corporation_des_orfevres,Hanns,Gotzgans,,Hanns Gotzgans
32,conseiller_des_marchands_de_grains,1422,Ottemann,"Frankenheim, von",,,echevinat,corporation_des_marchands_de_grains,Otteman,von Franckenheim,,Otteman von Franckenheim
33,conseiller_des_jardiniers,1422,Johanns,Kilwart,,,echevinat,corporation_des_jardiniers,Hanns,Kirwart,,Hanns Kirwart
34,conseiller_des_pêcheurs,1422,Heintz,Roser,,,echevinat,corporation_des_pêcheurs,Heintzman,Roser,,Heintzman Roser
35,conseiller_des_barbiers_et_baigneurs,1422,Rudolff,,,,echevinat,corporation_des_barbiers_et_baigneurs,Rͦuͦdolff,,,meister Rͦuͦdolff der scherer
