,magistrature,AnnéeMagistrature,prénom,nom,surnom,genName,corps civique,corporation,prénomNN,nomNN,surnomNN,NomCompletNN
0,stettmeister,1491,Wilhelm,Böckel,,,constoffeler,,Wilhelm,Böcklin,,her Wilhelm Böcklin ritter
1,stettmeister,1491,Ottemann,Sturm,,,constoffeler,,Ott,Sturm,,her Ott Sturm ritter
2,stettmeister,1491,Johanns,"Säckingen, von",,,constoffeler,,Hanns,von Seckingen,,her Hanns von Seckingen ritter
3,stettmeister,1491,Johanns,Völtsch,,,constoffeler,,Hans,Voltsch,,her Hans Voltsch
4,ammeister,1491,Andres,Happmacher,,,echevinat,,Andres,Hapmacher,,her Andres Hapmacher der ammeister
5,conseiller_des_constaffel,1491,Johanns-Wilhelm,,"Riet, zum",,constoffeler,,Hanswilhelm,,züm Ryet,her Hanswilhelm züm Ryet ritter
6,conseiller_des_constaffel,1491,Caspar,"Urendorf, von",,,constoffeler,,Caspar,von Urendorff,,her Caspar von Urendorff ritter
7,conseiller_des_constaffel,1491,Peter,Rebestock,,,constoffeler,,Peter,Rebestock,,Peter Rebestock
8,conseiller_des_constaffel,1491,Caspar,Klobelouch,,,constoffeler,,Caspar,Clobeloch,,Caspar Clobeloch
9,conseiller_des_constaffel,1491,Ludwig,"Müllenheim, von",,,constoffeler,,Ludwig,von Mùlnheim,,Ludwig von Mùlnheim
10,conseiller_des_constaffel,1491,Walther,"Müllenheim, von",,,constoffeler,,Walther,von Mùlnheim,,Walther von Mùlnheim
11,conseiller_des_bateliers,1491,Johanns,Berlin,,,echevinat,corporation_des_bateliers,Hans,Berlin,,Hans Berlin
12,conseiller_des_marchands,1491,Heinrich,Ingolt,,,echevinat,corporation_des_marchands,Heinrich,Ingolt,,Heinrich Ingolt
13,conseiller_des_bouchers,1491,Bechtolt,Offenburg,,,echevinat,corporation_des_bouchers,Behtolt,Offemburg,,Behtolt Offemburg
14,conseiller_des_cabaretiers,1491,Konrat,Armbruster,,,echevinat,corporation_des_cabaretiers,Conrat,Armbroster,,Conrat Armbroster
15,conseiller_des_drapiers,1491,Jerge,"Hohenburg, von",,,echevinat,corporation_des_drapiers,Jörge,von Hohemburg,,Jörge von Hohemburg
16,conseiller_des_marchands_de_grains,1491,Claus,Jörger,,,echevinat,corporation_des_marchands_de_grains,Claus,Jörger,,Claus Jörger
17,conseiller_des_sauniers,1491,Andres,Trachenfeils,,,echevinat,corporation_des_sauniers,Andres,Trachenfelß,,Andres Trachenfelß
18,conseiller_des_orfevres,1491,Stefan,Rotschilt,,,echevinat,corporation_des_orfevres,Steffan,Rotschilt,,Steffan Rotschilt
19,conseiller_des_boulangers,1491,Diebolt,Ottemann,,,echevinat,corporation_des_boulangers,Diebolt,Ottemman,,Diebolt Ottemman
20,conseiller_des_pelletiers,1491,Heinrich,Schott,,,echevinat,corporation_des_pelletiers,Heinrich,Schott,,Heinrich Schott
21,conseiller_des_tonneliers,1491,Jacob,Ammelung,,,echevinat,corporation_des_tonneliers,Jacob,Ammelung,,her Jacob Ammelung altammeister
22,conseiller_des_tanneurs,1491,Claus,Krug,,,echevinat,corporation_des_tanneurs,Claus,Krügk,,Claus Krügk
23,conseiller_des_gourmets_et_courtiers,1491,Lexius,Meiger,,,echevinat,corporation_des_gourmets_et_courtiers,Lecius,Meiger,,Lecius Meiger
24,conseiller_des_tailleurs,1491,Matheus,Esslinger,,,echevinat,corporation_des_tailleurs,Matheus,Esselinger,,Matheus Esselinger
25,conseiller_des_forgerons,1491,Johanns,"Truchtersheim, von",,,echevinat,corporation_des_forgerons,Hans,von Druhtersheim,,Hans von Druhtersheim
26,conseiller_des_cordonniers,1491,Johanns,Heinrich,,,echevinat,corporation_des_cordonniers,Hans,Heinrich,,Hans Heinrich
27,conseiller_des_pêcheurs,1491,Jerge,Ebel,,,echevinat,corporation_des_pêcheurs,Jörge,Ebel,,Jörge Ebel
28,conseiller_des_charrons,1491,Konrat,"Wangen, von",,,echevinat,corporation_des_charrons,Conrat,von Wangen,,Conrat von Wangen
29,conseiller_des_jardiniers,1491,Johanns,Bilger,,,echevinat,corporation_des_jardiniers,Hans,Bilger,,Hans Bilger
30,conseiller_des_maçons,1491,Gangolff,"Morsmünster, von",,,echevinat,corporation_des_maçons,Gangolff,von Morßmùnster,,Gangolff von Morßmùnster
