,magistrature,AnnéeMagistrature,prénom,nom,surnom,genName,corps civique,corporation,prénomNN,nomNN,surnomNN,NomCompletNN
0,stettmeister,1457,Heinrich,"Müllenheim, von",,,constoffeler,,Heinrich,von Mùlnheim,,her Heinrich von Mùlnheim ritter
1,stettmeister,1457,Heintz,"Müllenheim, von",,,constoffeler,,Heintz,von Mùlnheim,,her Heintz von Mùlnheim ritter
2,stettmeister,1457,Johanns,Böckel,,,constoffeler,,Hanns,Boͤckel,,her Hanns Boͤckel ritter
3,stettmeister,1457,Johanns-Konrat,Bock,,,constoffeler,,Hannßconrat,Bock,,her Hannßconrat Bock
4,ammeister,1457,Heinrich,Meiger,,,echevinat,,Heinrich,Meiger,,her Heinrich Meiger der ammeister
5,conseiller_des_constaffel,1457,Dietrich,Burggraf,,,constoffeler,,Dietrich,Burggraf,,her Dietrich Burggraf
6,conseiller_des_constaffel,1457,Claus,Zorn,"Bülach, von",,constoffeler,,Claus,Zorn,von Bͦuͦlach,her Claus Zorn von Bͦuͦlach
7,conseiller_des_constaffel,1457,Kühne,Nope,,,constoffeler,,Cuͦne,Nope,,her Cuͦne Nope
8,conseiller_des_constaffel,1457,Johanns,Ellenhart,,der jung,constoffeler,,Hanns,Elhart,,her Hanns Elhart der jung
9,conseiller_des_constaffel,1457,Johanns,Merswin,,,constoffeler,,Hanns,Merswin,,her Hanns Merswin
10,conseiller_des_constaffel,1457,Bechtolt,Zorn,"Riet, zum",,constoffeler,,Berhtolt,Zorn,zuͦm Riet,Berhtolt Zorn zuͦm Riet
11,conseiller_des_constaffel,1457,Johanns,Sturm,,,constoffeler,,Hanns,Sturm,,Hanns Sturm
12,conseiller_des_constaffel,1457,Stefan,Sturm,,,constoffeler,,Steffan,Sturm,,Steffan Sturm
13,conseiller_des_constaffel,1457,Peter,Rebestock,,,constoffeler,,Peter,Rebstock,,Peter Rebstock
14,conseiller_des_constaffel,1457,Johanns,Völtsch,,,constoffeler,,Hanns,Voͤltsch,,Hanns Voͤltsch
