,magistrature,AnnéeMagistrature,prénom,nom,surnom,genName,Titres,corps civique,corporation,poele,prénomNN,nomNN,surnomNN,NomCompletNN
0,stettmeister,1426,Heinrich,"Müllenheim, von","Landsberg, von",,"['her', 'ritter']",constoffeler,,,Heinrich,von Mùlnheim,von Landsperg,her Heinrich von Mùlnheim von Landsperg ritter
1,stettmeister,1426,Reimbolt,Spender,,,['her'],constoffeler,,,Reimbolt,Spender,,her Reimbolt Spender
2,stettmeister,1426,Wolffhelm,Bock,,,['her'],constoffeler,,,Wolffhelm,Bock,,her Wolffhelm Bock
3,stettmeister,1426,Claus,Lentzelin,,,['her'],constoffeler,,,Claus,Lentzel,,her Claus Lentzel
4,ammeister,1426,Ruhlemann,Barpfennig,,,"['her', 'ammeister']",echevinat,,,Ruͤllin,Barpfennig,,her Ruͤllin Barpfennig der ammeister
5,conseiller_des_constaffel,1426,Walther-Hiltebrant,"Müllenheim, von",,,,constoffeler,,,Walther Hiltbrant,von Mùlnheim,,Walther Hiltbrant von Mùlnheim
6,conseiller_des_constaffel,1426,Walther,"Müllenheim, von",,der jung,,constoffeler,,,Walther,von Mùlnheim,,Walther von Mùlnheim der jung
7,conseiller_des_constaffel,1426,Kühne,"Trübel, zum",,,['her'],constoffeler,,,Cuͦne,zuͦm Truͦbel,,her Cuͦne zuͦm Truͦbel
8,conseiller_des_constaffel,1426,Johanns,Ellenhart,,,['her'],constoffeler,,,Johanns,Ellehart,,her Johanns Ellehart
9,conseiller_des_constaffel,1426,Ludwig,"Rosheim, von",,,,constoffeler,,,Ludwig,von Rosheim,,Ludwig von Rosheim
10,conseiller_des_constaffel,1426,Johanns,Blenckel,Blankstein,,,constoffeler,,,Hanns,Blenckel,Blanckstein,Hanns Blenckel dem man spricht Blanckstein
11,conseiller_des_constaffel,1426,Hessemann,Hesse,,,,constoffeler,,,Hesseman,Hesse,,Hesseman Hesse
12,conseiller_des_constaffel,1426,Claus-Friedrich,Büchsener,,,,constoffeler,,,Claus Fridrich,Bùhssener,,Claus Fridrich Bùhssener
13,conseiller_des_constaffel,1426,Kühne,Nope,,,,constoffeler,,,Cuͦneman,Nope,,Cuͦneman Nope
14,conseiller_des_constaffel,1426,Friedrich,Manse,,,,constoffeler,,,Fridrich,Mansse,,Fridrich Mansse
15,conseiller_des_marchands,1426,Bechtolt,"Colmar, von",,,,echevinat,corporation_des_marchands,,Behtolt,von Colmar,,Behtolt von Colmar
16,conseiller_des_boulangers,1426,Wernher,"Hagenau, von",,,,echevinat,corporation_des_boulangers,,Wernlin,von Hagenowe,,Wernlin von Hagenowe
17,conseiller_des_bouchers,1426,Johanns,Bechtolt,,,['her'],echevinat,corporation_des_bouchers,,Hanns,Betscholt,,her Hanns Betscholt
18,conseiller_des_tonneliers,1426,Claus,Schanlit,,,['her'],echevinat,corporation_des_tonneliers,,Claus,Schanlit,,her Claus Schanlit
19,conseiller_des_drapiers,1426,Ulrich,Zirtzer,,,,echevinat,corporation_des_drapiers,,Uͦlrich,Zirzer,,Uͦlrich Zirzer
20,conseiller_des_tanneurs,1426,Johanns,Müntzenberg,,,,echevinat,corporation_des_tanneurs,,Hanns,Mintzenberg,,Hanns Mintzenberg
21,conseiller_des_cabaretiers,1426,Hug,Dossenheim,,,,echevinat,corporation_des_cabaretiers,,Hug,Dohssenheim,,Hug Dohssenheim
22,conseiller_des_maçons,1426,Claus,Ruhlmann,,,,echevinat,corporation_des_maçons,,Claus,Ruͤlman,,Claus Ruͤlman
