,magistrature,AnnéeMagistrature,prénom,nom,surnom,genName,corps civique,corporation,prénomNN,nomNN,surnomNN,NomCompletNN
0,stettmeister,1420,Ulrich,Bock,,,constoffeler,,Uͦlrich,Bock,,"her Uͦlrich Bock, Peter Bocks sun"
1,stettmeister,1420,Konrat,"Rust, zum",,,constoffeler,,Conrat,zuͦm Ruͦst,,her Conrat zuͦm Ruͦst
2,stettmeister,1420,Peter,Rebestock,,,constoffeler,,Peter,Rebstock,,her Peter Rebstock
3,stettmeister,1420,Ruhlemann,Barpfennig,,,constoffeler,,Rullin,Barpfennig,,her Rullin Barpfennig
4,ammeister,1420,Claus,Gerbot,,,echevinat,,Claus,Gerbot,,her Claus Gerbot der ammeister
5,conseiller_des_constaffel,1420,Ottemann,"Müllenheim, von",,,constoffeler,,Otteman,von Mùlnheim,,Otteman von Mùlnheim
6,conseiller_des_constaffel,1420,Thoman,"Endingen, von",,,constoffeler,,Thoman,von Endingen,,her Thoman von Endingen
7,conseiller_des_constaffel,1420,Wernher,Hüffelin,,der eilter,constoffeler,,Werlin,Hùffel,,Werlin Hùffel der eilter
8,conseiller_des_constaffel,1420,Johanns,Bock,,,constoffeler,,Johanns,Bock,,her Johanns Bock
9,conseiller_des_constaffel,1420,Claus,Merswin,,,constoffeler,,Claus,Merswin,,her Claus Merswin
10,conseiller_des_constaffel,1420,Hug,Völtsch,,,constoffeler,,Hug,Voͤltsch,,her Hug Voͤltsch
11,conseiller_des_constaffel,1420,Friedrich,"Hochfelden, von",,,constoffeler,,Fridrich,von Hochvelden,,Fridrich von Hochvelden
12,conseiller_des_constaffel,1420,Claus,Bauman,,,constoffeler,,Claus,Buman,,Claus Buman
13,conseiller_des_constaffel,1420,Johanns,"Heiligenstein, von",,der jung,constoffeler,,Hanns,von Heiligenstein,,Hanns von Heiligenstein der jung
14,conseiller_des_constaffel,1420,Jacob,Winterthur,,,constoffeler,,Jacob,Wintertur,,Jacob Wintertur
15,conseiller_des_marchands,1420,Ruhlemann,Barpfennig,,,echevinat,corporation_des_marchands,Rullin,Barpfennig,,her Rullin Barpfennig
16,conseiller_des_boulangers,1420,Johanns,Schwob,,,echevinat,corporation_des_boulangers,Hanns,Swab,,Hanns Swab
17,conseiller_des_bouchers,1420,Claus,Voltz,"Hagenau, von",,echevinat,corporation_des_bouchers,Claus,Voltz,von Hagenowe,Claus Voltz von Hagenowe
18,conseiller_des_drapiers,1420,Claus,Meiger,,,echevinat,corporation_des_drapiers,Claus,Meyger,,Claus Meyger
19,conseiller_des_tonneliers,1420,Claus,Vetter,,,echevinat,corporation_des_tonneliers,Claus,Vetter,,Claus Vetter
20,conseiller_des_tanneurs,1420,Johanns,Gerbot,,,echevinat,corporation_des_tanneurs,Hanns,Gerbott,,Hanns Gerbott
21,conseiller_des_cabaretiers,1420,Hug,Dossenheim,,,echevinat,corporation_des_cabaretiers,Hug,Dohssenheim,,Hug Dohssenheim
22,conseiller_des_maçons,1420,Ruhlemann,Lauwelin,,der eilter,echevinat,corporation_des_maçons,Ruͦlman,Laulin,,Ruͦlman Laulin der eilter
23,conseiller_des_forgerons,1420,Eberhart,"Truchtersheim, von",,,echevinat,corporation_des_forgerons,Eberlin,von Truhtersheim,,Eberlin von Truhtersheim
24,conseiller_des_tailleurs,1420,Peter,Stoltz,,,echevinat,corporation_des_tailleurs,Peter,Stoltz,,Peter Stoltz
25,conseiller_des_bateliers,1420,Johanns,Bülle,,,echevinat,corporation_des_bateliers,Hanns,Bùle,,Hanns Bùle
26,conseiller_des_pelletiers,1420,Claus,Spirer,,,echevinat,corporation_des_pelletiers,Claus,Spirer,,Claus Spirer
27,conseiller_des_charpentiers,1420,,Huggelin,,,echevinat,corporation_des_charpentiers,,Hùgelin,,meister Hùgelin Sant Martin
28,conseiller_des_crieurs_et_mesureurs_de_vin,1420,Jacob,"Kenen, zur",,,echevinat,corporation_des_crieurs_et_mesureurs_de_vin,Jacob,zͦuͦr Kenen,,Jacob zͦuͦr Kenen
29,conseiller_des_cordonniers,1420,Johanns,Pfaue,,,echevinat,corporation_des_cordonniers,Hanns,Pfowe,,Hanns Pfowe
30,conseiller_des_orfevres,1420,Hug,Seifenmacher,,,echevinat,corporation_des_orfevres,Hug,Seiffenmacher,,Hug Seiffenmacher
31,conseiller_des_marchands_de_grains,1420,Claus,Stacheler,,,echevinat,corporation_des_marchands_de_grains,Claus,Staheler,,Claus Staheler
32,conseiller_des_jardiniers,1420,Diebolt,Dreitzehn,,,echevinat,corporation_des_jardiniers,Diebolt,Dritzehen,,Diebolt Dritzehen
33,conseiller_des_pêcheurs,1420,Johanns,Brüchelin,,,echevinat,corporation_des_pêcheurs,Hanns,Brùchel,,Hanns Brùchel
34,conseiller_des_barbiers_et_baigneurs,1420,Walther,,,,echevinat,corporation_des_barbiers_et_baigneurs,Walther,,,Walther der scherer Sant Thoman
35,conseiller_des_sauniers,1420,Ulrich,Gosse,,,echevinat,corporation_des_sauniers,Uͦlrich,Gosse,,her Uͦlrich Gosse altammeister
36,conseiller_des_tisserands,1420,Diebolt,"Basel, von",,,echevinat,corporation_des_tisserands,Diebolt,von Basel,,Diebolt von Basel
37,conseiller_des_gourmets_et_courtiers,1420,Diebolt,,,,echevinat,corporation_des_gourmets_et_courtiers,Diebolt,,,Diebolt der wurt
38,conseiller_des_charrons,1420,Oberlin,Träger,,,echevinat,corporation_des_charrons,Oberlin,Treger,,Oberlin Treger
39,conseiller_des_regrattiers_cordiers_et_fruitiers,1420,Lauwel,Hühnerer,,,echevinat,corporation_des_regrattiers_cordiers_et_fruitiers,Laulin,Huͤnrer,,Laulin Huͤnrer
40,conseiller_des_coltineurs_de_tonneaux,1420,Claus,Dürr,,,echevinat,corporation_des_coltineurs_de_tonneaux,Claus,Duͤrre,,Claus Duͤrre
41,conseiller_des_constructeurs_de_bateaux,1420,Hug,Klige,,,echevinat,corporation_des_constructeurs_de_bateaux,Hug,Klye,,Hug Klye
42,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,1420,Walther,Reichwein,,,echevinat,corporation_des_huiliers_meuniers_et_tondeurs_de_draps,Walther,Richwin,,Walther Richwin der olman
