,magistrature,AnnéeMagistrature,prénom,nom,surnom,genName,corps civique,corporation,prénomNN,nomNN,NomCompletNN
0,stettmeister,1416,Claus,Zorn,Schultheiss,,constoffeler,,Claus,Zorn,her Claus Zorn Schultheiss ritter
1,stettmeister,1416,Ulrich,Bock,,,constoffeler,,Ulrich,Bock,"Ulrich Bock, Ulrich  Bocks seligen sun Inn Brantgasse"
2,stettmeister,1416,Hug,Völtsch,,,constoffeler,,Hug,Voͤltsche,Hug Voͤltsche
3,stettmeister,1416,Jacob,Manse,,,constoffeler,,Jacob,Mansse,Jacob Mansse
4,ammeister,1416,Johanns,Lumbart,,,echevinat,,Johanns,Lumbart,her Johanns Lumbart der ammeister
5,conseiller_des_constaffel,1416,Wilhelm,Klobelouch,,,constoffeler,,Wilhelm,Cloͤblouch,her Wilhelm Cloͤblouch ritter
6,conseiller_des_constaffel,1416,Claus,Westhus,,,constoffeler,,Claus,von Westhus,her Claus von Westhus ritter
7,conseiller_des_constaffel,1416,Johanns,"Müllenheim, von",,der junge,constoffeler,,Johanns,von Mùlnheim,her Johanns von Mùlnheim der junge ritter
8,conseiller_des_constaffel,1416,Reimbolt,Wetzel,,,constoffeler,,Reimbolt,Wetzel,Reimbolt Wetzel
9,conseiller_des_constaffel,1416,Hug,Zorn,Heilant,,constoffeler,,Hug,Zorn,Hug Zorn Heilant
10,conseiller_des_constaffel,1416,Reimbolt,Klobelouch,,der eilter,constoffeler,,Reimbolt,Cloͤblouch,Reimbolt Cloͤblouch der eilter
11,conseiller_des_constaffel,1416,Ottemann,"Müllenheim, von",,,constoffeler,,Otteman,von Mùlnheim,Otteman von Mùlnheim
12,conseiller_des_constaffel,1416,Ruhlemann,"Berstett, von",,,constoffeler,,Rullin,von Berstette,Rullin von Berstette
13,conseiller_des_constaffel,1416,Bechtolt,,zuͦm Ret,,constoffeler,,Behtolt,,Behtolt zuͦm Ret
14,conseiller_des_constaffel,1416,Claus,"Müllenheim, von",,,constoffeler,,Claus,von Mùlnheim,Claus von Mùlnheim
15,conseiller_des_constaffel,1416,Johanns,Bock,,,constoffeler,,Johanns,Bock,Johanns Bock
16,conseiller_des_constaffel,1416,Claus,Merswin,,,constoffeler,,Claus,Merswin,Claus Merswin
17,conseiller_des_constaffel,1416,Konrat,"Rust, zum",,,constoffeler,,Conrat,zuͦm Ruͦst,Conrat zuͦm Ruͦst
18,conseiller_des_constaffel,1416,Götze,"Heiligenstein, von",,,constoffeler,,Gotze,von Heiligenstein,Gotze von Heiligenstein
19,conseiller_des_constaffel,1416,Johanns,Peterlin,,,constoffeler,,Hanns,Peterlin,Hanns Peterlin
20,conseiller_des_constaffel,1416,Friedrich,"Epfig, von",,,constoffeler,,Fridrich,von Epffich,Fridrich von Epffich
21,conseiller_des_constaffel,1416,Johanns,"Winterthur, von",,,constoffeler,,Hanns,von Wintertur,Hanns von Wintertur
22,conseiller_des_constaffel,1416,Peter,Mosung,,,constoffeler,,Peter,Mosung,Peter Mosung
23,conseiller_des_constaffel,1416,Thoman,Lentzelin,,,constoffeler,,Thoman,Lentzlin,Thoman Lentzlin
24,conseiller_des_constaffel,1416,Johanns,Humbrecht,,,constoffeler,,Hanns,Humbreht,Hanns Humbreht
25,conseiller_des_constaffel,1416,Walther,Spiegel,,,constoffeler,,Walther,Spiegel,Walther Spiegel der jung
26,conseiller_des_constaffel,1416,Claus-Friedrich,Büchsener,,,constoffeler,,Claus Fridrich,Büchssener,Claus Fridrich Büchssener
27,conseiller_des_constaffel,1416,Peter,Rebestock,,,constoffeler,,Peter,Rebstock,Peter Rebstock
28,conseiller_des_constaffel,1416,Ludwig,"Rosheim, von",,,constoffeler,,Ludwig,von Rosheim,Ludwig von Rosheim
29,conseiller_des_marchands,1416,Johanns,Barpfennig,,,echevinat,corporation_des_marchands,Hanns,Barpfennig,Hanns Barpfennig
30,conseiller_des_boulangers,1416,Konrat,Gerter,,,echevinat,corporation_des_boulangers,Conrat,Gerter,Conrat Gerter
31,conseiller_des_bouchers,1416,Claus,Kerling,,,echevinat,corporation_des_bouchers,Claus,Kerling,Claus Kerling
