,magistrature,AnnéeMagistrature,prénom,nom,surnom,genName,corps civique,corporation,prénomNN,nomNN,surnomNN,NomCompletNN
0,stettmeister,1484,Johanns,"Kageneck, von",,,constoffeler,,Hans,von Kageneck,,her Hans von Kageneck ritter
1,stettmeister,1484,Friedrich,Bock,,,constoffeler,,Friderich,Bock,,her Friderich Bock ritter
2,stettmeister,1484,Claus,Wormser,,,constoffeler,,Claus,Wormsser,,her Claus Wormsser ritter
3,stettmeister,1484,Ottemann,Sturm,,,constoffeler,,Otte,Sturm,,her Otte Sturm ritter
4,ammeister,1484,Konrat,"Duntzenheim, von",,,echevinat,,Conrat,von Duntzenheim,,her Conrat von Duntzenheim der ammeister
5,conseiller_des_constaffel,1484,Ludwig,"Kageneck, von",,,constoffeler,,Ludwig,von Kageneck,,her Ludwig von Kageneck ritter
6,conseiller_des_constaffel,1484,Peter,Rebestock,,,constoffeler,,Peter,Rebestock,,Peter Rebestock
7,conseiller_des_constaffel,1484,Johanns,Völtsch,,,constoffeler,,Hans,Völtsch,,Hans Völtsch
8,conseiller_des_constaffel,1484,Wilhelm,Böckel,,,constoffeler,,Wilhelm,Böckel,,Wilhelm Böckel
9,conseiller_des_constaffel,1484,Jerge,Berer,,,constoffeler,,Jörge,Berer,,Jörge Berer
10,conseiller_des_constaffel,1484,Ludwig,"Müllenheim, von",,,constoffeler,,Ludwig,von Mùlnheim,,Ludwig von Mùlnheim
11,conseiller_des_bateliers,1484,Johanns,Jörger,,,echevinat,corporation_des_bateliers,Hans,Jörger,,Hans Jörger
12,conseiller_des_marchands,1484,Johanns-Erhart,"Rottweil, von",,,echevinat,corporation_des_marchands,Hans Erhart,von Rotwil,,Hans Erhart von Rotwil
13,conseiller_des_bouchers,1484,Jacob,Wisebach,,,echevinat,corporation_des_bouchers,Jacob,Wisebach,,Jacob Wisebach
14,conseiller_des_cabaretiers,1484,Konrat,Armbruster,,,echevinat,corporation_des_cabaretiers,Conrat,Armbroster,,Conrat Armbroster
15,conseiller_des_drapiers,1484,Obrecht,Armbruster,,,echevinat,corporation_des_drapiers,Obreht,Armbroster,,Obreht Armbroster
16,conseiller_des_marchands_de_grains,1484,Claus,Brun,,,echevinat,corporation_des_marchands_de_grains,Claus,Brune,,Claus Brune
17,conseiller_des_sauniers,1484,Lienhart,Trachenfeils,,,echevinat,corporation_des_sauniers,Lienhart,Trachenfeils,,Lienhart Trachenfeils
18,conseiller_des_orfevres,1484,Heinrich,Pfarrer,,,echevinat,corporation_des_orfevres,Heinrich,Pfarrer,,Heinrich Pfarrer
19,conseiller_des_boulangers,1484,Johanns,Waldener,,,echevinat,corporation_des_boulangers,Hans,Waldener,,Hans Waldener
20,conseiller_des_pelletiers,1484,Heinrich,Schott,,,echevinat,corporation_des_pelletiers,Heinrich,Schott,,Heinrich Schott
21,conseiller_des_tonneliers,1484,Jacob,Ammelung,,,echevinat,corporation_des_tonneliers,Jacob,Amelung,,Jacob Amelung altammeister
22,conseiller_des_tanneurs,1484,Laurentz,Vendenheim,,,echevinat,corporation_des_tanneurs,Lorentz,Vendenheim,,Lorentz Vendenheim
23,conseiller_des_gourmets_et_courtiers,1484,Konrat,Storck,,,echevinat,corporation_des_gourmets_et_courtiers,Conrat,Storck,,Conrat Storck
24,conseiller_des_tailleurs,1484,Matheus,Esslinger,,,echevinat,corporation_des_tailleurs,Matheus,Esselinger,,Matheus Esselinger
25,conseiller_des_forgerons,1484,Johanns,Württemberg,,,echevinat,corporation_des_forgerons,Hans,Wurtemberg,,Hans Wurtemberg
26,conseiller_des_cordonniers,1484,Claus,Weidlich,,,echevinat,corporation_des_cordonniers,Claus,Weỳdelich,,Claus Weỳdelich
27,conseiller_des_pêcheurs,1484,Claus,Ulrich,,,echevinat,corporation_des_pêcheurs,Claus,Ulrich,,Claus Ulrich
28,conseiller_des_charrons,1484,Johanns,Ducheler,,,echevinat,corporation_des_charrons,Hans,Düheler,,Hans Düheler
29,conseiller_des_jardiniers,1484,Claus,Ersame,,,echevinat,corporation_des_jardiniers,Claus,Ersamme,,Claus Ersamme
30,conseiller_des_maçons,1484,Konrat,Fallwehenne,,,echevinat,corporation_des_maçons,Conrat,Valwehenne,,Conrat Valwehenne
