,magistrature,AnnéeMagistrature,prénom,nom,surnom,genName,Titres,corps civique,corporation,poele,prénomNN,nomNN,surnomNN,NomCompletNN
0,stettmeister,1440,Walther,Spiegel,,,['her'],constoffeler,,,Walther,Spiegel,,her Walther Spiegel
1,stettmeister,1440,Burkhart,"Müllenheim, von",,,"['her', 'ritter']",constoffeler,,,Burckart,von Mùlnheim,,her Burckart von Mùlnheim ritter
2,stettmeister,1440,Kühne,"Trübel, zum",,,"['her', 'XIII']",constoffeler,,,Cuͦne,zuͦm Trùbel,,her Cuͦne zuͦm Trùbel XIII
3,stettmeister,1440,Johanns-Balthazar,"Endingen, von",,,['her'],constoffeler,,,Hannß Balthazar,von Endingen,,her Hannß Balthazar von Endingen
4,ammeister,1440,Claus,Schanlit,,,"['her', 'ammeister']",echevinat,,,Claus,Schanlit,,her Claus Schanlit der ammeister
5,conseiller_des_constaffel,1440,Walther,"Müllenheim, von",Hiltebrant,,,constoffeler,,,Walther,von Mùlnheim,Hiltbrant,Walther von Mùlnheim genant Hiltbrant
6,conseiller_des_constaffel,1440,Ludwig,"Rosheim, von",,,['her'],constoffeler,,,Ludwig,von Rosheim,,her Ludwig von Rosheim
7,conseiller_des_constaffel,1440,Konrat,Bock,,,,constoffeler,,,Conrat,Bock,,Conrat Bock
8,conseiller_des_constaffel,1440,Johanns,Böckel,,,,constoffeler,,,Hanns,Boͤckel,,Hanns Boͤckel
9,conseiller_des_constaffel,1440,Burkhart,Bauman,,,,constoffeler,,,Burckart,Buman,,Burckart Buman
10,conseiller_des_constaffel,1440,Böldemann,Schwob,,,,constoffeler,,,Boͤldelin,Swob,,Boͤldelin Swob
11,conseiller_des_constaffel,1440,Jerge,Berer,,,,constoffeler,,,Joͤrg,Berer,,Joͤrg Berer
12,conseiller_des_constaffel,1440,Friedrich,"Rust, zum",,,,constoffeler,,,Fridrich,zuͦm Rust,,Fridrich zuͦm Rust
