,magistrature,AnnéeMagistrature,prénom,nom,surnom,genName,Titres,corps civique,corporation,poele,prénomNN,nomNN,surnomNN,NomCompletNN
0,stettmeister,1433,Johanns,Zorn,"Eckerich, von",,['ritter'],constoffeler,,,Hans,Zorn,von Eckerich,Hans Zorn von Eckerich ritter
1,stettmeister,1433,Johanns-Konrat,Bock,,,['her'],constoffeler,,,Hans Conrat,Bock,,her Hans Conrat Bock
2,stettmeister,1433,Ulrich,Löselin,,,"['her', 'ritter']",constoffeler,,,Uͤlrich,Loͤselin,,her Uͤlrich Loͤselin ritter
3,stettmeister,1433,Johanns-Balthazar,"Endingen, von",,,['her'],constoffeler,,,Hannß Balthazar,von Endingen,,her Hannß Balthazar von Endingen
4,ammeister,1433,Hug,Dossenheim,,,"['her', 'ammeister']",echevinat,,,Hug,Dohssenheim,,her Hug Dohssenheim der ammeister
5,conseiller_des_constaffel,1433,Johanns,Sturm,"Sturmeck, von",,['her'],constoffeler,,,Hans,Sturm,von Sturmeck,her Hans Sturm von Sturmeck
6,conseiller_des_constaffel,1433,Walther,Spiegel,,,['her'],constoffeler,,,Walther,Spiegel,,her Walther Spiegel
7,conseiller_des_constaffel,1433,Ulrich,Bock,,,['her'],constoffeler,,,Ulrich,Bock,,her Ulrich Bock
8,conseiller_des_constaffel,1433,Claus,Erlin,,,['her'],constoffeler,,,Claus,Erlin,,her Claus Erlin
9,conseiller_des_constaffel,1433,Arbogast,"Kageneck, von",,,,constoffeler,,,Arbgast,von Kagenecke,,Arbgast von Kagenecke
10,conseiller_des_constaffel,1433,Heinrich,Engelbrecht,,,,constoffeler,,,Heinrich,Engelbreht,,Heinrich Engelbreht
11,conseiller_des_constaffel,1433,Johanns,"Müllenheim, von",,,,constoffeler,,,Hans,von Mùlnheim,,"Hans von Mùlnheim, Ottemans sun"
12,conseiller_des_constaffel,1433,Johanns-Heinrich,Hüffelin,,,,constoffeler,,,Hans Heinrich,Hùffel,,Hans Heinrich Hùffel
13,conseiller_des_constaffel,1433,Claus-Friedrich,Büchsener,,,,constoffeler,,,Clausfridrich,Buͤhssener,,Clausfridrich Buͤhssener
14,conseiller_des_constaffel,1433,Bernhart,Mürsel,,,,constoffeler,,,Bernhart,Mùrsel,,Bernhart Mùrsel
15,conseiller_des_marchands,1433,Marx,Barpfennig,,,,echevinat,corporation_des_marchands,,Marx,Barpfennig,,Marx Barpfennig
16,conseiller_des_boulangers,1433,Jacob,"Geispoltzheim, von",,,"['her', 'altammeister']",echevinat,corporation_des_boulangers,,Jocob,von Geyspoltzheym,,her Jocob von Geyspoltzheym altammeister
17,conseiller_des_bouchers,1433,Johanns,Bechtolt,,,"['her', 'altammeister']",echevinat,corporation_des_bouchers,,Johanns,Betscholt,,her Johanns Betscholt altammeister
18,conseiller_des_tonneliers,1433,Johanns,Lamparter,,,,echevinat,corporation_des_tonneliers,,Hans,Lamparter,,Hans Lamparter
19,conseiller_des_drapiers,1433,Konrat,Armbruster,"Pfennigturm, vor dem",,,echevinat,corporation_des_drapiers,,Conrat,Armbroster,vor dem pfennigturm,Conrat Armbroster vor dem pfennigturm
20,conseiller_des_tanneurs,1433,Claus,Kücheler,,,,echevinat,corporation_des_tanneurs,,Claus,Kuͤcheler,,Claus Kuͤcheler
21,conseiller_des_cabaretiers,1433,Claus,"Rohr, von",,,,echevinat,corporation_des_cabaretiers,,Claus,von Rore,,Claus von Rore
22,conseiller_des_maçons,1433,,Wild,,,['murer'],echevinat,corporation_des_maçons,,,Wilde,,Wilde der murer
23,conseiller_des_forgerons,1433,Peter,Villinger,,,,echevinat,corporation_des_forgerons,,Peter,Vilinger,,Peter Vilinger
24,conseiller_des_tailleurs,1433,Johanns,Zoller,,,,echevinat,corporation_des_tailleurs,,Hans,Zoller,,Hans Zoller
25,conseiller_des_bateliers,1433,Reimbolt,Phye,,,,echevinat,corporation_des_bateliers,,Reimbolt,Phye,,Reimbolt Phye
26,conseiller_des_pelletiers,1433,Johanns,"Hellen, zur",,,,echevinat,corporation_des_pelletiers,,Hans,zuͤr Hellen,,Hans zuͤr Hellen
27,conseiller_des_charpentiers,1433,Fritsch,,"Werde, uff dem",,,echevinat,corporation_des_charpentiers,,Fritsch,,uff dem werde,Fritsch uff dem werde
28,conseiller_des_crieurs_et_mesureurs_de_vin,1433,Johanns,Meiger,,,,echevinat,corporation_des_crieurs_et_mesureurs_de_vin,,Hans,Meyger,,Hans Meyger
29,conseiller_des_cordonniers,1433,Heintz,Üsenberg,,,,echevinat,corporation_des_cordonniers,,Heintz,Uͦsemberg,,Heintz Uͦsemberg
